# BUSCO version is: 5.8.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5951at33208	Complete	ptg000042l	259623	239473	-	4018.8	1829	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	ntLink_131	932792	891226	-	2545.4	1750	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	ptg000445l	486523	462396	-	1833.2	1482	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Complete	ntLink_7	2474525	2434347	-	2537.4	1783	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Complete	ntLink_0	2687932	2722053	+	2451.2	1535	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	ptg000264l	48293	58676	+	711.6	542	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Complete	ntLink_499	211632	162362	-	1053.9	853	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	ntLink_118	257756	179474	-	1611.4	1185	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	ntLink_308	540434	573428	+	1279.2	980	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	ntLink_17	983841	970891	-	1362.8	921	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	ntLink_74	742025	720564	-	1876.1	1020	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	ntLink_139	72979	46280	-	1964.6	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	ntLink_201	290130	307887	+	361.5	445	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	ntLink_21	1691145	1648939	-	1473.8	965	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	ptg000847l	51412	23740	-	1591.1	869	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	ntLink_519	169059	188662	+	618.3	589	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	ptg001453l	137116	119083	-	901.4	883	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
