Assembly	Ptua_hifiasm_s55.p_ctg.fa.k32.w100.z1000.ntLink.5rounds.fa.masked	Pver_genome_assembly_v1.0	Pocillopora_meandrina_HIv1.assembly	Pocillopora_acuta_HIv2.assembly
# contigs (>= 0 bp)	1270	18268	212	474
# contigs (>= 1000 bp)	1270	11724	212	474
# contigs (>= 5000 bp)	1265	3932	211	461
# contigs (>= 10000 bp)	1233	2484	208	447
# contigs (>= 25000 bp)	983	1598	205	394
# contigs (>= 50000 bp)	804	1191	124	203
Total length (>= 0 bp)	360397912	380505698	376579914	408287534
Total length (>= 1000 bp)	360397912	375923844	376579914	408287534
Total length (>= 5000 bp)	360376307	358580702	376576338	408248011
Total length (>= 10000 bp)	360127729	348550822	376554947	408137131
Total length (>= 25000 bp)	355797636	334908425	376493990	407100823
Total length (>= 50000 bp)	349314081	320332990	373269466	400343351
# contigs	1270	18268	212	474
Largest contig	3431640	2095917	21651136	16633824
Total length	360397912	380505698	376579914	408287534
GC (%)	38.07	38.09	38.03	38.11
N50	739931	333696	10024633	5167277
N75	373515	125371	5767069	3166945
L50	141	326	13	24
L75	313	766	24	49
# N's per 100 kbp	0.11	134.04	0.00	0.00
