# BUSCO version is: 5.8.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5951at33208	Complete	Pocillopora_tuahiniensis_scaffold411	258809	238552	-	4018.8	1829	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	Pocillopora_tuahiniensis_scaffold204	930981	890061	-	2544.4	1741	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	Pocillopora_tuahiniensis_scaffold527	486017	461892	-	1832.9	1482	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Complete	Pocillopora_tuahiniensis_scaffold109	2779161	2739344	-	2538.2	1783	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Complete	Pocillopora_tuahiniensis_scaffold108	889513	856120	-	2448.5	1530	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	Pocillopora_tuahiniensis_scaffold102	859279	869662	+	711.6	542	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Complete	Pocillopora_tuahiniensis_scaffold22	211074	162201	-	1053.9	853	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	Pocillopora_tuahiniensis_scaffold118	484361	562829	+	1611.4	1185	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	Pocillopora_tuahiniensis_scaffold348	539685	572718	+	1282.6	1019	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	Pocillopora_tuahiniensis_scaffold122	983752	970653	-	1362.8	921	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	Pocillopora_tuahiniensis_scaffold160	741756	729212	-	1668.9	874	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	Pocillopora_tuahiniensis_scaffold211	72571	45895	-	1964.6	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	Pocillopora_tuahiniensis_scaffold220	1769195	1751382	-	361.5	445	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	Pocillopora_tuahiniensis_scaffold816	70990	112676	+	1473.8	965	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	Pocillopora_tuahiniensis_scaffold662	51046	23415	-	1591.1	869	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	Pocillopora_tuahiniensis_scaffold15	173700	191837	+	613.0	582	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	Pocillopora_tuahiniensis_scaffold806	198779	216827	+	902.5	882	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	Pocillopora_tuahiniensis_scaffold27	822796	809559	-	880.9	517	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	Pocillopora_tuahiniensis_scaffold316	739953	759895	+	535.2	507	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Complete	Pocillopora_tuahiniensis_scaffold120	347361	333123	-	411.8	482	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
99614at33208	Complete	Pocillopora_tuahiniensis_scaffold21	424983	409254	-	1384.8	878	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99987at33208	Complete	Pocillopora_tuahiniensis_scaffold524	35778	18311	-	858.0	705	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	Pocillopora_tuahiniensis_scaffold806	118248	142854	+	1188.7	840	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	Pocillopora_tuahiniensis_scaffold54	530522	570879	+	731.8	640	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	Pocillopora_tuahiniensis_scaffold64	139870	124780	-	1343.1	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	Pocillopora_tuahiniensis_scaffold145	574390	558010	-	593.5	618	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Complete	Pocillopora_tuahiniensis_scaffold127	377469	368434	-	432.6	433	https://v10-1.orthodb.org/?query=108764at33208	general transcription factor 3C polypeptide 3
109109at33208	Complete	Pocillopora_tuahiniensis_scaffold681	405062	427650	+	1104.3	586	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Complete	Pocillopora_tuahiniensis_scaffold437	265793	237415	-	895.9	620	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Complete	Pocillopora_tuahiniensis_scaffold513	221789	249166	+	710.5	599	https://v10-1.orthodb.org/?query=111746at33208	WD40 repeat
114954at33208	Missing
115878at33208	Complete	Pocillopora_tuahiniensis_scaffold29	63565	51336	-	534.7	410	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Complete	Pocillopora_tuahiniensis_scaffold518	80916	70451	-	1612.0	846	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Complete	Pocillopora_tuahiniensis_scaffold320	475025	519495	+	838.7	563	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	Pocillopora_tuahiniensis_scaffold302	179547	134864	-	1347.3	957	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Complete	Pocillopora_tuahiniensis_scaffold14	515179	496757	-	589.5	592	https://v10-1.orthodb.org/?query=121127at33208	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
123923at33208	Complete	Pocillopora_tuahiniensis_scaffold29	681887	666452	-	458.9	509	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Duplicated	Pocillopora_tuahiniensis_scaffold75	65421	87268	+	942.0	786	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	Pocillopora_tuahiniensis_scaffold361	262491	236208	-	876.1	671	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	Pocillopora_tuahiniensis_scaffold361	204266	176506	-	878.8	669	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	Pocillopora_tuahiniensis_scaffold88	26247	13517	-	840.3	506	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Complete	Pocillopora_tuahiniensis_scaffold359	99469	81878	-	839.6	592	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Duplicated	Pocillopora_tuahiniensis_scaffold329	21335	14665	-	699.6	416	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
129179at33208	Duplicated	Pocillopora_tuahiniensis_scaffold91	74892	81452	+	699.6	416	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	Pocillopora_tuahiniensis_scaffold417	708306	718197	+	594.1	410	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Duplicated	Pocillopora_tuahiniensis_scaffold339	500109	478690	-	761.0	569	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
130256at33208	Duplicated	Pocillopora_tuahiniensis_scaffold339	603105	616277	+	745.3	569	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Complete	Pocillopora_tuahiniensis_scaffold410	30225	57402	+	1455.9	907	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Complete	Pocillopora_tuahiniensis_scaffold155	1120091	1101075	-	687.7	531	https://v10-1.orthodb.org/?query=131848at33208	UPF0505 family
132087at33208	Complete	Pocillopora_tuahiniensis_scaffold59	7995	27603	+	943.7	758	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	Pocillopora_tuahiniensis_scaffold364	165748	177145	+	1204.0	826	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	Pocillopora_tuahiniensis_scaffold81	1296595	1322406	+	729.5	520	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Complete	Pocillopora_tuahiniensis_scaffold145	922276	966562	+	869.4	638	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Complete	Pocillopora_tuahiniensis_scaffold558	150073	105216	-	750.5	616	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	Pocillopora_tuahiniensis_scaffold388	602560	593563	-	388.7	314	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Complete	Pocillopora_tuahiniensis_scaffold188	84109	68486	-	523.3	381	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
146671at33208	Complete	Pocillopora_tuahiniensis_scaffold38	1287606	1313024	+	870.7	564	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
147873at33208	Complete	Pocillopora_tuahiniensis_scaffold204	1110365	1154890	+	957.4	566	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
148067at33208	Complete	Pocillopora_tuahiniensis_scaffold324	552058	533249	-	799.7	809	https://v10-1.orthodb.org/?query=148067at33208	Nrap protein, domain 3
148325at33208	Complete	Pocillopora_tuahiniensis_scaffold170	92723	82116	-	311.1	246	https://v10-1.orthodb.org/?query=148325at33208	THO complex subunit 1
152327at33208	Complete	Pocillopora_tuahiniensis_scaffold424	837239	867177	+	503.0	369	https://v10-1.orthodb.org/?query=152327at33208	FAD/NAD(P)-binding domain
152977at33208	Complete	Pocillopora_tuahiniensis_scaffold370	582250	568654	-	602.6	495	https://v10-1.orthodb.org/?query=152977at33208	Dymeclin
153034at33208	Complete	Pocillopora_tuahiniensis_scaffold461	40159	22752	-	795.9	503	https://v10-1.orthodb.org/?query=153034at33208	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
157109at33208	Complete	Pocillopora_tuahiniensis_scaffold135	212077	208192	-	269.7	222	https://v10-1.orthodb.org/?query=157109at33208	Zinc finger C2H2-type
157138at33208	Complete	Pocillopora_tuahiniensis_scaffold64	490542	494136	+	362.8	492	https://v10-1.orthodb.org/?query=157138at33208	Neurochondrin
158845at33208	Duplicated	Pocillopora_tuahiniensis_scaffold367	283652	294962	+	411.7	473	https://v10-1.orthodb.org/?query=158845at33208	exocyst complex component 8
158845at33208	Duplicated	Pocillopora_tuahiniensis_scaffold977	23940	15447	-	436.3	446	https://v10-1.orthodb.org/?query=158845at33208	exocyst complex component 8
158962at33208	Complete	Pocillopora_tuahiniensis_scaffold743	166705	162636	-	758.2	487	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
162821at33208	Complete	Pocillopora_tuahiniensis_scaffold171	330803	332672	+	639.7	419	https://v10-1.orthodb.org/?query=162821at33208	Glycosyl hydrolase family 63, C-terminal
164767at33208	Duplicated	Pocillopora_tuahiniensis_scaffold100	1499672	1512798	+	801.2	661	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
164767at33208	Duplicated	Pocillopora_tuahiniensis_scaffold248	95329	108441	+	811.7	660	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
166097at33208	Complete	Pocillopora_tuahiniensis_scaffold15	616000	627522	+	810.4	492	https://v10-1.orthodb.org/?query=166097at33208	Methylglyoxal synthase-like domain
168850at33208	Complete	Pocillopora_tuahiniensis_scaffold347	278098	266790	-	641.0	451	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168924at33208	Complete	Pocillopora_tuahiniensis_scaffold86	503125	509054	+	630.1	564	https://v10-1.orthodb.org/?query=168924at33208	ER membrane protein complex subunit 1, C-terminal
169864at33208	Complete	Pocillopora_tuahiniensis_scaffold171	952092	964326	+	562.2	551	https://v10-1.orthodb.org/?query=169864at33208	CCAAT-binding factor
172677at33208	Complete	Pocillopora_tuahiniensis_scaffold109	1772335	1760933	-	200.7	242	https://v10-1.orthodb.org/?query=172677at33208	Sphingomyelin phosphodiesterase 4
176247at33208	Complete	Pocillopora_tuahiniensis_scaffold607	202921	217154	+	376.6	326	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
177718at33208	Complete	Pocillopora_tuahiniensis_scaffold123	1197505	1170933	-	585.0	393	https://v10-1.orthodb.org/?query=177718at33208	WD40 repeat
177858at33208	Complete	Pocillopora_tuahiniensis_scaffold126	247095	232123	-	858.2	590	https://v10-1.orthodb.org/?query=177858at33208	Helicase, C-terminal
178537at33208	Complete	Pocillopora_tuahiniensis_scaffold109	3103949	3090577	-	985.2	467	https://v10-1.orthodb.org/?query=178537at33208	Radical SAM
179485at33208	Complete	Pocillopora_tuahiniensis_scaffold93	1652210	1681060	+	714.9	476	https://v10-1.orthodb.org/?query=179485at33208	WD40 repeat
180808at33208	Complete	Pocillopora_tuahiniensis_scaffold124	791526	806772	+	825.2	470	https://v10-1.orthodb.org/?query=180808at33208	FAD/NAD(P)-binding domain
182834at33208	Complete	Pocillopora_tuahiniensis_scaffold221	462796	450875	-	695.3	533	https://v10-1.orthodb.org/?query=182834at33208	anaphase-promoting complex subunit 2
184508at33208	Complete	Pocillopora_tuahiniensis_scaffold118	363924	317426	-	635.2	486	https://v10-1.orthodb.org/?query=184508at33208	SERRATE/Ars2 , C-terminal
184717at33208	Complete	Pocillopora_tuahiniensis_scaffold124	953646	934429	-	934.5	505	https://v10-1.orthodb.org/?query=184717at33208	ATP-binding cassette sub-family E member 1
186208at33208	Complete	Pocillopora_tuahiniensis_scaffold246	167797	144208	-	1214.3	708	https://v10-1.orthodb.org/?query=186208at33208	RNA cytidine acetyltransferase
186707at33208	Complete	Pocillopora_tuahiniensis_scaffold55	437720	450774	+	481.4	506	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
187280at33208	Complete	Pocillopora_tuahiniensis_scaffold220	1849299	1845698	-	747.8	527	https://v10-1.orthodb.org/?query=187280at33208	SCP2 sterol-binding domain
189414at33208	Complete	Pocillopora_tuahiniensis_scaffold15	576568	555812	-	552.1	537	https://v10-1.orthodb.org/?query=189414at33208	MIF4G-like domain superfamily
